Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
اپنے پیروں کے ابلے ہیں ہم,apne pairoñ ke aable haiñ ham,ا پ ن ے   پ ی ر و ں   ک ے   ا ب ل ے   ہ ی ں   ہ م,a p n e   p a i r o ñ   k e   a a b l e   h a i ñ   h a m
دیکہو زمیں فلک سے فلک ہے زمیں سے دور,dekho zamīñ falak se falak hai zamīñ se duur,د ی ک ہ و   ز م ی ں   ف ل ک   س ے   ف ل ک   ہ ے   ز م ی ں   س ے   د و ر,d e k h o   z a m ī ñ   f a l a k   s e   f a l a k   h a i   z a m ī ñ   s e   d u u r
قسمت کا سب یہ پہیر ہے اندہیر ہے اندہیر ہے ایسے ہوئے ہیں بے اثر میں اور مری اوارگی,qismat kā sab ye pher hai andher hai andher hai aise hue haiñ beasar maiñ aur mirī āvārgī,ق س م ت   ک ا   س ب   ی ہ   پ ہ ی ر   ہ ے   ا ن د ہ ی ر   ہ ے   ا ن د ہ ی ر   ہ ے   ا ی س ے   ہ و ئ ے   ہ ی ں   ب ے   ا ث ر   م ی ں   ا و ر   م ر ی   ا و ا ر گ ی,q i s m a t   k ā   s a b   y e   p h e r   h a i   a n d h e r   h a i   a n d h e r   h a i   a i s e   h u e   h a i ñ   b e a s a r   m a i ñ   a u r   m i r ī   ā v ā r g ī
وعدہ کرنے کا اختیار رہا,vaada karne kā iḳhtiyār rahā,و ع د ہ   ک ر ن ے   ک ا   ا خ ت ی ا ر   ر ہ ا,v a a d a   k a r n e   k ā   i ḳ h t i y ā r   r a h ā
طرب زاروں پہ کیا بیتی صنم خانوں پہ کیا گزری,tarabzāroñ pe kyā biitī sanamḳhānoñ pe kyā guzrī,ط ر ب   ز ا ر و ں   پ ہ   ک ی ا   ب ی ت ی   ص ن م   خ ا ن و ں   پ ہ   ک ی ا   گ ز ر ی,t a r a b z ā r o ñ   p e   k y ā   b i i t ī   s a n a m ḳ h ā n o ñ   p e   k y ā   g u z r ī
اے ظفرؔ اٹہ جائے گا جب پردہ شرم و حجاب,ai zafar uth jāegā jab pardaesharmohijāb,ا ے   ظ ف ر ؔ   ا ٹ ہ   ج ا ئ ے   گ ا   ج ب   پ ر د ہ   ش ر م   و   ح ج ا ب,a i   z a f a r   u t h   j ā e g ā   j a b   p a r d a e s h a r m o h i j ā b
عشق ادہر عقل ادہر دہن میں چلے ہیں تیری,ishq udhar aql idhar dhun meñ chale haiñ terī,ع ش ق   ا د ہ ر   ع ق ل   ا د ہ ر   د ہ ن   م ی ں   چ ل ے   ہ ی ں   ت ی ر ی,i s h q   u d h a r   a q l   i d h a r   d h u n   m e ñ   c h a l e   h a i ñ   t e r ī
رہا دہن میں وہ قفل بن کر گرایا چہاتی پہ سنگ ہو کر,rahā dahan meñ vo qufl ban kar girāyā chhātī pe sañg ho kar,ر ہ ا   د ہ ن   م ی ں   و ہ   ق ف ل   ب ن   ک ر   گ ر ا ی ا   چ ہ ا ت ی   پ ہ   س ن گ   ہ و   ک ر,r a h ā   d a h a n   m e ñ   v o   q u f l   b a n   k a r   g i r ā y ā   c h h ā t ī   p e   s a ñ g   h o   k a r
صد رنگ گل کترنا در پردہ قتل کرنا,sadrañgegul katarnā darparda qatl karnā,ص د   ر ن گ   گ ل   ک ت ر ن ا   د ر   پ ر د ہ   ق ت ل   ک ر ن ا,s a d r a ñ g e g u l   k a t a r n ā   d a r p a r d a   q a t l   k a r n ā
وہ ہمارے قریب ہوتے ہیں,vo hamāre qarīb hote haiñ,و ہ   ہ م ا ر ے   ق ر ی ب   ہ و ت ے   ہ ی ں,v o   h a m ā r e   q a r ī b   h o t e   h a i ñ
تو اب جو اسے سمجہا اگر تو چارہ نہیں,tū aabjū ise samjhā agar to chāra nahīñ,ت و   ا ب   ج و   ا س ے   س م ج ہ ا   ا گ ر   ت و   چ ا ر ہ   ن ہ ی ں,t ū   a a b j ū   i s e   s a m j h ā   a g a r   t o   c h ā r a   n a h ī ñ
اک پرندے کے بال و پر ائے,ik parinde ke bālopar aae,ا ک   پ ر ن د ے   ک ے   ب ا ل   و   پ ر   ا ئ ے,i k   p a r i n d e   k e   b ā l o p a r   a a e
اب احتیاط کی کوئی صورت نہیں رہی,ab ehtiyāt kī koī sūrat nahīñ rahī,ا ب   ا ح ت ی ا ط   ک ی   ک و ئ ی   ص و ر ت   ن ہ ی ں   ر ہ ی,a b   e h t i y ā t   k ī   k o ī   s ū r a t   n a h ī ñ   r a h ī
زنجیر تار داماں ہے طوق اک گریباں,zanjīr tāredāmāñ hai tauq ik garebāñ,ز ن ج ی ر   ت ا ر   د ا م ا ں   ہ ے   ط و ق   ا ک   گ ر ی ب ا ں,z a n j ī r   t ā r e d ā m ā ñ   h a i   t a u q   i k   g a r e b ā ñ
وہ ایک رشتۂ بے نام بہی نہیں لیکن,vo ek rishtaebenām bhī nahīñ lekin,و ہ   ا ی ک   ر ش ت ۂ   ب ے   ن ا م   ب ہ ی   ن ہ ی ں   ل ی ک ن,v o   e k   r i s h t a e b e n ā m   b h ī   n a h ī ñ   l e k i n
جہاں کی فطرت بیگانہ میں جو کیف غم بہر دیں,jahāñ kī fitratebegāna meñ jo kaifeġham bhar deñ,ج ہ ا ں   ک ی   ف ط ر ت   ب ی گ ا ن ہ   م ی ں   ج و   ک ی ف   غ م   ب ہ ر   د ی ں,j a h ā ñ   k ī   f i t r a t e b e g ā n a   m e ñ   j o   k a i f e ġ h a m   b h a r   d e ñ
میں بستر خیال پہ لیٹا ہوں اس کے پاس,maiñ bistareḳhayāl pe letā huuñ us ke paas,م ی ں   ب س ت ر   خ ی ا ل   پ ہ   ل ی ٹ ا   ہ و ں   ا س   ک ے   پ ا س,m a i ñ   b i s t a r e ḳ h a y ā l   p e   l e t ā   h u u ñ   u s   k e   p a a s
مرے دل نے وہ نالہ پیدا کیا ہے,mire dil ne vo naala paidā kiyā hai,م ر ے   د ل   ن ے   و ہ   ن ا ل ہ   پ ی د ا   ک ی ا   ہ ے,m i r e   d i l   n e   v o   n a a l a   p a i d ā   k i y ā   h a i
اجل مر رہی تو کہاں اتے اتے,ajal mar rahī tū kahāñ aate aate,ا ج ل   م ر   ر ہ ی   ت و   ک ہ ا ں   ا ت ے   ا ت ے,a j a l   m a r   r a h ī   t ū   k a h ā ñ   a a t e   a a t e
کیسے اپنی ہنسی کو ضبط کروں,kaise apnī hañsī ko zabt karūñ,ک ی س ے   ا پ ن ی   ہ ن س ی   ک و   ض ب ط   ک ر و ں,k a i s e   a p n ī   h a ñ s ī   k o   z a b t   k a r ū ñ
لطف کا انتظار کرتا ہوں,lutf kā intizār kartā huuñ,ل ط ف   ک ا   ا ن ت ظ ا ر   ک ر ت ا   ہ و ں,l u t f   k ā   i n t i z ā r   k a r t ā   h u u ñ
شرطیں لگائی جاتی نہیں دوستی کے ساتہ,sharteñ lagāī jaatī nahīñ dostī ke saath,ش ر ط ی ں   ل گ ا ئ ی   ج ا ت ی   ن ہ ی ں   د و س ت ی   ک ے   س ا ت ہ,s h a r t e ñ   l a g ā ī   j a a t ī   n a h ī ñ   d o s t ī   k e   s a a t h
اپ اپنی اگ کے خس و خاشاک ہو گئے,aap apnī aag ke ḳhasoḳhāshāk ho gae,ا پ   ا پ ن ی   ا گ   ک ے   خ س   و   خ ا ش ا ک   ہ و   گ ئ ے,a a p   a p n ī   a a g   k e   ḳ h a s o ḳ h ā s h ā k   h o   g a e
لا پہر اک بار وہی بادہ و جام اے ساقی,lā phir ik baar vahī baada o jaam ai saaqī,ل ا   پ ہ ر   ا ک   ب ا ر   و ہ ی   ب ا د ہ   و   ج ا م   ا ے   س ا ق ی,l ā   p h i r   i k   b a a r   v a h ī   b a a d a   o   j a a m   a i   s a a q ī
ذرہ ذرہ ہے مظہر خورشید,zarra zarra hai mazhareḳhurshīd,ذ ر ہ   ذ ر ہ   ہ ے   م ظ ہ ر   خ و ر ش ی د,z a r r a   z a r r a   h a i   m a z h a r e ḳ h u r s h ī d
زہے کرشمہ کہ یوں دے رکہا ہے ہم کو فریب,zahe karishma ki yuuñ de rakkhā hai ham ko fareb,ز ہ ے   ک ر ش م ہ   ک ہ   ی و ں   د ے   ر ک ہ ا   ہ ے   ہ م   ک و   ف ر ی ب,z a h e   k a r i s h m a   k i   y u u ñ   d e   r a k k h ā   h a i   h a m   k o   f a r e b
یہ اور بات کہ رہ رہ کے درد اٹہتا تہا,ye aur baat ki rah rah ke dard uthtā thā,ی ہ   ا و ر   ب ا ت   ک ہ   ر ہ   ر ہ   ک ے   د ر د   ا ٹ ہ ت ا   ت ہ ا,y e   a u r   b a a t   k i   r a h   r a h   k e   d a r d   u t h t ā   t h ā
خدائے دو جہاں کو دے کے ہم انسان لیتے ہیں,ḳhudāedojahāñ ko de ke ham insān lete haiñ,خ د ا ئ ے   د و   ج ہ ا ں   ک و   د ے   ک ے   ہ م   ا ن س ا ن   ل ی ت ے   ہ ی ں,ḳ h u d ā e d o j a h ā ñ   k o   d e   k e   h a m   i n s ā n   l e t e   h a i ñ
یہ لوگ تذکرے کرتے ہیں اپنے لوگوں کے,ye log tazkire karte haiñ apne logoñ ke,ی ہ   ل و گ   ت ذ ک ر ے   ک ر ت ے   ہ ی ں   ا پ ن ے   ل و گ و ں   ک ے,y e   l o g   t a z k i r e   k a r t e   h a i ñ   a p n e   l o g o ñ   k e
اہ کہ کہویا گیا تجہ سے فقیری کا راز,aah ki khoyā gayā tujh se faqīrī kā raaz,ا ہ   ک ہ   ک ہ و ی ا   گ ی ا   ت ج ہ   س ے   ف ق ی ر ی   ک ا   ر ا ز,a a h   k i   k h o y ā   g a y ā   t u j h   s e   f a q ī r ī   k ā   r a a z
اٹہا چکے ہیں زمیندار جن زمینوں کو,uthā chuke haiñ zamīñdār jin zamīnoñ ko,ا ٹ ہ ا   چ ک ے   ہ ی ں   ز م ی ن د ا ر   ج ن   ز م ی ن و ں   ک و,u t h ā   c h u k e   h a i ñ   z a m ī ñ d ā r   j i n   z a m ī n o ñ   k o
سراپا ناز ہے تو اے پری رو,sarāpā naaz hai tū ai parīrū,س ر ا پ ا   ن ا ز   ہ ے   ت و   ا ے   پ ر ی   ر و,s a r ā p ā   n a a z   h a i   t ū   a i   p a r ī r ū
غفلت متاع کفۂ میزان عدل ہوں,ġhaflatmatāekaffaemīzāneadl huuñ,غ ف ل ت   م ت ا ع   ک ف ۂ   م ی ز ا ن   ع د ل   ہ و ں,ġ h a f l a t m a t ā e k a f f a e m ī z ā n e a d l   h u u ñ
اپنے سائے سے چونک جاتے ہیں,apne saae se chauñk jaate haiñ,ا پ ن ے   س ا ئ ے   س ے   چ و ن ک   ج ا ت ے   ہ ی ں,a p n e   s a a e   s e   c h a u ñ k   j a a t e   h a i ñ
اپنے سائے پہ پاؤں رکہتا ہوں,apne saae pe paañv rakhtā huuñ,ا پ ن ے   س ا ئ ے   پ ہ   پ ا ؤ ں   ر ک ہ ت ا   ہ و ں,a p n e   s a a e   p e   p a a ñ v   r a k h t ā   h u u ñ
کرم یار بے حساب ہوا,karameyār behisāb huā,ک ر م   ی ا ر   ب ے   ح س ا ب   ہ و ا,k a r a m e y ā r   b e h i s ā b   h u ā
صبر فرقت میں ا ہی جاتا ہے,sabr furqat meñ aa hī jaatā hai,ص ب ر   ف ر ق ت   م ی ں   ا   ہ ی   ج ا ت ا   ہ ے,s a b r   f u r q a t   m e ñ   a a   h ī   j a a t ā   h a i
شاید بگڑ گئی ہے کچہ اس بے وفا سے اج,shāyad bigaḍ gaī hai kuchh us bevafā se aaj,ش ا ی د   ب گ ڑ   گ ئ ی   ہ ے   ک چ ہ   ا س   ب ے   و ف ا   س ے   ا ج,s h ā y a d   b i g a ḍ   g a ī   h a i   k u c h h   u s   b e v a f ā   s e   a a j
اور ہم ہیں کہ نام کر رہے ہیں,aur ham haiñ ki naam kar rahe haiñ,ا و ر   ہ م   ہ ی ں   ک ہ   ن ا م   ک ر   ر ہ ے   ہ ی ں,a u r   h a m   h a i ñ   k i   n a a m   k a r   r a h e   h a i ñ
پر سکوں لگتی ہے کتنی جہیل کے پانی پہ بط,pursukūñ lagtī hai kitnī jhiil ke paanī pe bat,پ ر   س ک و ں   ل گ ت ی   ہ ے   ک ت ن ی   ج ہ ی ل   ک ے   پ ا ن ی   پ ہ   ب ط,p u r s u k ū ñ   l a g t ī   h a i   k i t n ī   j h i i l   k e   p a a n ī   p e   b a t
مری نگاہ میں وہ رند ہی نہیں ساقی,mirī nigāh meñ vo riñd hī nahīñ saaqī,م ر ی   ن گ ا ہ   م ی ں   و ہ   ر ن د   ہ ی   ن ہ ی ں   س ا ق ی,m i r ī   n i g ā h   m e ñ   v o   r i ñ d   h ī   n a h ī ñ   s a a q ī
ہم جو پہنچے سر مقتل تو یہ منظر دیکہا,ham jo pahuñche saremaqtal to ye manzar dekhā,ہ م   ج و   پ ہ ن چ ے   س ر   م ق ت ل   ت و   ی ہ   م ن ظ ر   د ی ک ہ ا,h a m   j o   p a h u ñ c h e   s a r e m a q t a l   t o   y e   m a n z a r   d e k h ā
عجب اپنا حال ہوتا جو وصال یار ہوتا,ajab apnā haal hotā jo visāleyār hotā,ع ج ب   ا پ ن ا   ح ا ل   ہ و ت ا   ج و   و ص ا ل   ی ا ر   ہ و ت ا,a j a b   a p n ā   h a a l   h o t ā   j o   v i s ā l e y ā r   h o t ā
تیرے دیوانوں کا بہی لشکر اج,tere dīvānoñ kā bhī lashkar aaj,ت ی ر ے   د ی و ا ن و ں   ک ا   ب ہ ی   ل ش ک ر   ا ج,t e r e   d ī v ā n o ñ   k ā   b h ī   l a s h k a r   a a j
جب ائے ہیں رات ہو گئی ہے,jab aae haiñ raat ho gaī hai,ج ب   ا ئ ے   ہ ی ں   ر ا ت   ہ و   گ ئ ی   ہ ے,j a b   a a e   h a i ñ   r a a t   h o   g a ī   h a i
جب لخت جگر دیدۂ خوں بار میں اوے,jab laḳhtejigar dīdaeḳhūñbār meñ aave,ج ب   ل خ ت   ج گ ر   د ی د ۂ   خ و ں   ب ا ر   م ی ں   ا و ے,j a b   l a ḳ h t e j i g a r   d ī d a e ḳ h ū ñ b ā r   m e ñ   a a v e
ہر اک مہ رو کے ملنے کا نہیں ذوق,har ik mahrū ke milne kā nahīñ zauq,ہ ر   ا ک   م ہ   ر و   ک ے   م ل ن ے   ک ا   ن ہ ی ں   ذ و ق,h a r   i k   m a h r ū   k e   m i l n e   k ā   n a h ī ñ   z a u q
تم اس کا حسن کبہی اس کی بزم میں دیکہو,tum us kā husn kabhī us kī bazm meñ dekho,ت م   ا س   ک ا   ح س ن   ک ب ہ ی   ا س   ک ی   ب ز م   م ی ں   د ی ک ہ و,t u m   u s   k ā   h u s n   k a b h ī   u s   k ī   b a z m   m e ñ   d e k h o
دل کو جو دیکہ لو تو یہی پیار سے کہو,dil ko jo dekh lo to yahī pyaar se kaho,د ل   ک و   ج و   د ی ک ہ   ل و   ت و   ی ہ ی   پ ی ا ر   س ے   ک ہ و,d i l   k o   j o   d e k h   l o   t o   y a h ī   p y a a r   s e   k a h o
میں اپنے گہر کے اندہیروں کو لوٹ اؤں گی,maiñ apne ghar ke añdheroñ ko laut āūñgī,م ی ں   ا پ ن ے   گ ہ ر   ک ے   ا ن د ہ ی ر و ں   ک و   ل و ٹ   ا ؤ ں   گ ی,m a i ñ   a p n e   g h a r   k e   a ñ d h e r o ñ   k o   l a u t   ā ū ñ g ī
اب تو نباہنا ہے جب اک کام کر پڑے,ab to nibāhnā hai jab ik kaam kar paḍe,ا ب   ت و   ن ب ا ہ ن ا   ہ ے   ج ب   ا ک   ک ا م   ک ر   پ ڑ ے,a b   t o   n i b ā h n ā   h a i   j a b   i k   k a a m   k a r   p a ḍ e
ایک رات ائی ایک رات گئی,ek raat aaī ek raat gaī,ا ی ک   ر ا ت   ا ئ ی   ا ی ک   ر ا ت   گ ئ ی,e k   r a a t   a a ī   e k   r a a t   g a ī
نہ وہ عشق میں رہیں گرمیاں نہ وہ حسن میں رہیں شوخیاں,na vo ishq meñ rahīñ garmiyāñ na vo husn meñ rahīñ shoḳhiyāñ,ن ہ   و ہ   ع ش ق   م ی ں   ر ہ ی ں   گ ر م ی ا ں   ن ہ   و ہ   ح س ن   م ی ں   ر ہ ی ں   ش و خ ی ا ں,n a   v o   i s h q   m e ñ   r a h ī ñ   g a r m i y ā ñ   n a   v o   h u s n   m e ñ   r a h ī ñ   s h o ḳ h i y ā ñ
دل کے معاملے میں نتیجے کی فکر کیا,dil ke muāmle meñ natīje kī fikr kyā,د ل   ک ے   م ع ا م ل ے   م ی ں   ن ت ی ج ے   ک ی   ف ک ر   ک ی ا,d i l   k e   m u ā m l e   m e ñ   n a t ī j e   k ī   f i k r   k y ā
ہجر میں زہر کہا کے مر جاؤں,hijr meñ zahr khā ke mar jāūñ,ہ ج ر   م ی ں   ز ہ ر   ک ہ ا   ک ے   م ر   ج ا ؤ ں,h i j r   m e ñ   z a h r   k h ā   k e   m a r   j ā ū ñ
دور کی راہ ہے ساماں ہیں بڑے,duur kī raah hai sāmāñ haiñ baḍe,د و ر   ک ی   ر ا ہ   ہ ے   س ا م ا ں   ہ ی ں   ب ڑ ے,d u u r   k ī   r a a h   h a i   s ā m ā ñ   h a i ñ   b a ḍ e
فیضؔ اتنے وہ کب ہمارے تہے,faiz itne vo kab hamāre the,ف ی ض ؔ   ا ت ن ے   و ہ   ک ب   ہ م ا ر ے   ت ہ ے,f a i z   i t n e   v o   k a b   h a m ā r e   t h e
سوچو تو سب کہیل تماشا لگتا ہے,socho to sab kheltamāshā lagtā hai,س و چ و   ت و   س ب   ک ہ ی ل   ت م ا ش ا   ل گ ت ا   ہ ے,s o c h o   t o   s a b   k h e l t a m ā s h ā   l a g t ā   h a i
اثر ابلہ سے جادۂ صحرائے جنوں,asareābla se jādaesahrāejunūñ,ا ث ر   ا ب ل ہ   س ے   ج ا د ۂ   ص ح ر ا ئ ے   ج ن و ں,a s a r e ā b l a   s e   j ā d a e s a h r ā e j u n ū ñ
رستہ بہی ڈہونڈ خضر کا سودا بہی چہوڑ دے,rasta bhī dhūñd ḳhizr kā saudā bhī chhoḍ de,ر س ت ہ   ب ہ ی   ڈ ہ و ن ڈ   خ ض ر   ک ا   س و د ا   ب ہ ی   چ ہ و ڑ   د ے,r a s t a   b h ī   d h ū ñ d   ḳ h i z r   k ā   s a u d ā   b h ī   c h h o ḍ   d e
چاہ سے اپ کو تو نفرت ہے,chaah se aap ko to nafrat hai,چ ا ہ   س ے   ا پ   ک و   ت و   ن ف ر ت   ہ ے,c h a a h   s e   a a p   k o   t o   n a f r a t   h a i
بپہری ہوئی سانسیں ہیں نو مشق نظاموں کی,biphrī huī sāñseñ haiñ naumashq nizāmoñ kī,ب پ ہ ر ی   ہ و ئ ی   س ا ن س ی ں   ہ ی ں   ن و   م ش ق   ن ظ ا م و ں   ک ی,b i p h r ī   h u ī   s ā ñ s e ñ   h a i ñ   n a u m a s h q   n i z ā m o ñ   k ī
اور تو غم خوار سارے کر چکے غم خوارگی,aur to ġhamḳhvār saare kar chuke ġhamḳhvārgī,ا و ر   ت و   غ م   خ و ا ر   س ا ر ے   ک ر   چ ک ے   غ م   خ و ا ر گ ی,a u r   t o   ġ h a m ḳ h v ā r   s a a r e   k a r   c h u k e   ġ h a m ḳ h v ā r g ī
بحر گر بحر نہ ہوتا تو بیاباں ہوتا,bahr gar bahr na hotā to bayābāñ hotā,ب ح ر   گ ر   ب ح ر   ن ہ   ہ و ت ا   ت و   ب ی ا ب ا ں   ہ و ت ا,b a h r   g a r   b a h r   n a   h o t ā   t o   b a y ā b ā ñ   h o t ā
سب کو مقبول ہے دعوی تری یکتائی کا,sab ko maqbūl hai daavā tirī yaktāī kā,س ب   ک و   م ق ب و ل   ہ ے   د ع و ی   ت ر ی   ی ک ت ا ئ ی   ک ا,s a b   k o   m a q b ū l   h a i   d a a v ā   t i r ī   y a k t ā ī   k ā
ستم کے بہت سے ہیں رد عمل,sitam ke bahut se haiñ raddeamal,س ت م   ک ے   ب ہ ت   س ے   ہ ی ں   ر د   ع م ل,s i t a m   k e   b a h u t   s e   h a i ñ   r a d d e a m a l
غبار ناتوان قیس جب محمل سے ملتا ہے,ġhubārenātavāneqais jab mahmil se miltā hai,غ ب ا ر   ن ا ت و ا ن   ق ی س   ج ب   م ح م ل   س ے   م ل ت ا   ہ ے,ġ h u b ā r e n ā t a v ā n e q a i s   j a b   m a h m i l   s e   m i l t ā   h a i
تامحیط بادہ صورت خانۂ خمیازہ تہا,tāmuhītebāda sūrat ḳhānaeḳhamyāza thā,ت ا م ح ی ط   ب ا د ہ   ص و ر ت   خ ا ن ۂ   خ م ی ا ز ہ   ت ہ ا,t ā m u h ī t e b ā d a   s ū r a t   ḳ h ā n a e ḳ h a m y ā z a   t h ā
شمع ساں جلتے ہیں اپنی گرم بازاری میں ہم,shama saañ jalte haiñ apnī garmbāzārī meñ ham,ش م ع   س ا ں   ج ل ت ے   ہ ی ں   ا پ ن ی   گ ر م   ب ا ز ا ر ی   م ی ں   ہ م,s h a m a   s a a ñ   j a l t e   h a i ñ   a p n ī   g a r m b ā z ā r ī   m e ñ   h a m
کیا کرے میری مسیحائی بہی کرنے والا,kyā kare merī masīhāī bhī karne vaalā,ک ی ا   ک ر ے   م ی ر ی   م س ی ح ا ئ ی   ب ہ ی   ک ر ن ے   و ا ل ا,k y ā   k a r e   m e r ī   m a s ī h ā ī   b h ī   k a r n e   v a a l ā
میں تو اس میں بہی دیکہتا کچہ ہوں,maiñ to us meñ bhī dekhtā kuchh huuñ,م ی ں   ت و   ا س   م ی ں   ب ہ ی   د ی ک ہ ت ا   ک چ ہ   ہ و ں,m a i ñ   t o   u s   m e ñ   b h ī   d e k h t ā   k u c h h   h u u ñ
یہ کیوں کہیں کہ ہمیں کوئی رہنما نہ ملا,ye kyuuñ kaheñ ki hameñ koī rahnumā na milā,ی ہ   ک ی و ں   ک ہ ی ں   ک ہ   ہ م ی ں   ک و ئ ی   ر ہ ن م ا   ن ہ   م ل ا,y e   k y u u ñ   k a h e ñ   k i   h a m e ñ   k o ī   r a h n u m ā   n a   m i l ā
جس کو پیچہے کہیں چہوڑ ائے وہ دریا ہوگا,jis ko pīchhe kahīñ chhoḍ aae vo dariyā hogā,ج س   ک و   پ ی چ ہ ے   ک ہ ی ں   چ ہ و ڑ   ا ئ ے   و ہ   د ر ی ا   ہ و گ ا,j i s   k o   p ī c h h e   k a h ī ñ   c h h o ḍ   a a e   v o   d a r i y ā   h o g ā
انکہ کہل جائے تو تنہائی کا صحرا دیکہوں,aañkh khul jaae to tanhāī kā sahrā dekhūñ,ا ن ک ہ   ک ہ ل   ج ا ئ ے   ت و   ت ن ہ ا ئ ی   ک ا   ص ح ر ا   د ی ک ہ و ں,a a ñ k h   k h u l   j a a e   t o   t a n h ā ī   k ā   s a h r ā   d e k h ū ñ
وہ ایک مشت خاک کہ صحرا کہیں جسے,vo ek mushteḳhāk ki sahrā kaheñ jise,و ہ   ا ی ک   م ش ت   خ ا ک   ک ہ   ص ح ر ا   ک ہ ی ں   ج س ے,v o   e k   m u s h t e ḳ h ā k   k i   s a h r ā   k a h e ñ   j i s e
جوہر طلسم عقدۂ مشکل ہے ائنہ,jauhartilismeuqdaemushkil hai aaina,ج و ہ ر   ط ل س م   ع ق د ۂ   م ش ک ل   ہ ے   ا ئ ن ہ,j a u h a r t i l i s m e u q d a e m u s h k i l   h a i   a a i n a
کسی کے ہاتہ کا اس پر نشاں نہیں ملتا,kisī ke haath kā us par nishāñ nahīñ miltā,ک س ی   ک ے   ہ ا ت ہ   ک ا   ا س   پ ر   ن ش ا ں   ن ہ ی ں   م ل ت ا,k i s ī   k e   h a a t h   k ā   u s   p a r   n i s h ā ñ   n a h ī ñ   m i l t ā
تم سے پہلے وہ جو اک شخص یہاں تخت نشیں تہا,tum se pahle vo jo ik shaḳhs yahāñ taḳhtnashīñ thā,ت م   س ے   پ ہ ل ے   و ہ   ج و   ا ک   ش خ ص   ی ہ ا ں   ت خ ت   ن ش ی ں   ت ہ ا,t u m   s e   p a h l e   v o   j o   i k   s h a ḳ h s   y a h ā ñ   t a ḳ h t n a s h ī ñ   t h ā
زیر خنجر مسکرانا چاہیئے,zereḳhanjar muskurānā chāhiye,ز ی ر   خ ن ج ر   م س ک ر ا ن ا   چ ا ہ ی ئ ے,z e r e ḳ h a n j a r   m u s k u r ā n ā   c h ā h i y e
کہا گئے ان کو زمین و اسمان لکہنؤ,khā gae un ko zamīnoāsmānelucknow,ک ہ ا   گ ئ ے   ا ن   ک و   ز م ی ن   و   ا س م ا ن   ل ک ہ ن ؤ,k h ā   g a e   u n   k o   z a m ī n o ā s m ā n e l u c k n o w
فرصت کشاکش غم پنہاں سے گر ملے,fursat kashākasheġhamepinhāñ se gar mile,ف ر ص ت   ک ش ا ک ش   غ م   پ ن ہ ا ں   س ے   گ ر   م ل ے,f u r s a t   k a s h ā k a s h e ġ h a m e p i n h ā ñ   s e   g a r   m i l e
افسوس یہ کافر کو مسلماں نہ کریں گے,afsos ye kāfir ko musalmāñ na kareñge,ا ف س و س   ی ہ   ک ا ف ر   ک و   م س ل م ا ں   ن ہ   ک ر ی ں   گ ے,a f s o s   y e   k ā f i r   k o   m u s a l m ā ñ   n a   k a r e ñ g e
چمن لالہ دشت اتش ہے,chamanelāla dashteātash hai,چ م ن   ل ا ل ہ   د ش ت   ا ت ش   ہ ے,c h a m a n e l ā l a   d a s h t e ā t a s h   h a i
کرتے ہو داغؔ دور سے بت خانے کو سلام,karte ho dāġh duur se butḳhāne ko salām,ک ر ت ے   ہ و   د ا غ ؔ   د و ر   س ے   ب ت   خ ا ن ے   ک و   س ل ا م,k a r t e   h o   d ā ġ h   d u u r   s e   b u t ḳ h ā n e   k o   s a l ā m
مجہ سے تم کیا پوچہتے ہو کیسے ہیں ہم کیا کہیں,mujh se tum kyā pūchhte ho kaise haiñ ham kyā kaheñ,م ج ہ   س ے   ت م   ک ی ا   پ و چ ہ ت ے   ہ و   ک ی س ے   ہ ی ں   ہ م   ک ی ا   ک ہ ی ں,m u j h   s e   t u m   k y ā   p ū c h h t e   h o   k a i s e   h a i ñ   h a m   k y ā   k a h e ñ
اب اس سے بڑہ کے طبیعت شناس کیا دے گا,ab is se baḍh ke tabīatshanās kyā degā,ا ب   ا س   س ے   ب ڑ ہ   ک ے   ط ب ی ع ت   ش ن ا س   ک ی ا   د ے   گ ا,a b   i s   s e   b a ḍ h   k e   t a b ī a t s h a n ā s   k y ā   d e g ā
نالۂ بلبل کا درد اور خندۂ گل کا نمک,nālaebulbul kā dard aur ḳhandaegul kā namak,ن ا ل ۂ   ب ل ب ل   ک ا   د ر د   ا و ر   خ ن د ۂ   گ ل   ک ا   ن م ک,n ā l a e b u l b u l   k ā   d a r d   a u r   ḳ h a n d a e g u l   k ā   n a m a k
ہم رہروان راہ فنا دیر رہ چکے,ham rahravānerāhefanā der rah chuke,ہ م   ر ہ ر و ا ن   ر ا ہ   ف ن ا   د ی ر   ر ہ   چ ک ے,h a m   r a h r a v ā n e r ā h e f a n ā   d e r   r a h   c h u k e
نگہ یار کو اب کیوں ہے تغافل اے دل,nigaheyār ko ab kyuuñ hai taġhāful ai dil,ن گ ہ   ی ا ر   ک و   ا ب   ک ی و ں   ہ ے   ت غ ا ف ل   ا ے   د ل,n i g a h e y ā r   k o   a b   k y u u ñ   h a i   t a ġ h ā f u l   a i   d i l
کہ ڈال ہی دیا دنیا کا بار ہم پر بہی,ki daal hī diyā duniyā kā baar ham par bhī,ک ہ   ڈ ا ل   ہ ی   د ی ا   د ن ی ا   ک ا   ب ا ر   ہ م   پ ر   ب ہ ی,k i   d a a l   h ī   d i y ā   d u n i y ā   k ā   b a a r   h a m   p a r   b h ī
