Urdu Text,Roman Transliteration
جانے کس کو جہانکا چاند,jaane kis ko jhāñkā chāñd
بادل کے ریشم جہولے میں,bādal ke resham jhūle meñ
بہور سمے تک سویا چاند,bhor samay tak soyā chāñd
رات کے شانے پر سر رکہے,raat ke shāne par sar rakkhe
دیکہ رہا ہے سپنا چاند,dekh rahā hai sapnā chāñd
سوکہے پتوں کے جہرمٹ پر,sūkhe pattoñ ke jhurmut par
شبنم تہی یا ننہا چاند,shabnam thī yā nanhā chāñd
ہاتہ ہلا کر رخصت ہوگا,haath hilā kar ruḳhsat hogā
اس کی صورت ہجر کا چاند,us kī sūrat hijr kā chāñd
صحرا صحرا بہٹک رہا ہے,sahrā sahrā bhatak rahā hai
اپنے عشق میں سچا چاند,apne ishq meñ sachchā chāñd
رات کے شاید ایک بجے ہیں,raat ke shāyad ek baje haiñ
سوتا ہوگا میرا چاند,sotā hogā merā chāñd
قدموں میں بہی تکان تہی گہر بہی قریب تہا,qadmoñ meñ bhī takān thī ghar bhī qarīb thā
پر کیا کریں کہ اب کے سفر ہی عجیب تہا,par kyā kareñ ki ab ke safar hī ajiib thā
نکلے اگر تو چاند دریچے میں رک بہی جائے,nikle agar to chāñd darīche meñ ruk bhī jaae
اس شہر بے چراغ میں کس کا نصیب تہا,is shahrebecharāġh meñ kis kā nasīb thā
اندہی نے ان رتوں کو بہی بے کار کر دیا,āñdhī ne un rutoñ ko bhī bekār kar diyā
جن کا کبہی ہما سا پرندہ نصیب تہا,jin kā kabhī humā sā parinda nasīb thā
کچہ اپنے اپ سے ہی اسے کشمکش نہ تہی,kuchh apneāp se hī use kashmakash na thī
مجہ میں بہی کوئی شخص اسی کا رقیب تہا,mujh meñ bhī koī shaḳhs usī kā raqīb thā
پوچہا کسی نے مول تو حیران رہ گیا,pūchhā kisī ne mol to hairān rah gayā
اپنی نگاہ میں کوئی کتنا غریب تہا,apnī nigāh meñ koī kitnā ġharīb thā
مقتل سے انے والی ہوا کو بہی کب ملا,maqtal se aane vaalī havā ko bhī kab milā
ایسا کوئی دریچہ کہ جو بے صلیب تہا,aisā koī darīcha ki jo besalīb thā
قید میں گزرے گی جو عمر بڑے کام کی تہی,qaid meñ guzregī jo umr baḍe kaam kī thī
پر میں کیا کرتی کہ زنجیر ترے نام کی تہی,par maiñ kyā kartī ki zanjīr tire naam kī thī
جس کے ماتہے پہ مرے بخت کا تارہ چمکا,jis ke māthe pe mire baḳht kā taara chamkā
چاند کے ڈوبنے کی بات اسی شام کی تہی,chāñd ke dūbne kī baat usī shaam kī thī
میں نے ہاتہوں کو ہی پتوار بنایا ورنہ,maiñ ne hāthoñ ko hī patvār banāyā varna
ایک ٹوٹی ہوئی کشتی مرے کس کام کی تہی,ek tuutī huī kashtī mire kis kaam kī thī
وہ کہانی کہ ابہی سوئیاں نکلیں بہی نہ تہیں,vo kahānī ki abhī sūiyāñ niklīñ bhī na thiiñ
فکر ہر شخص کو شہزادی کے انجام کی تہی,fikr har shaḳhs ko shahzādī ke anjām kī thī
یہ ہوا کیسے اڑا لے گئی انچل میرا,ye havā kaise uḍā le gaī āñchal merā
یوں ستانے کی تو عادت مرے گہنشیام کی تہی,yuuñ satāne kī to aadat mire ghanshyām kī thī
بوجہ اٹہاتے ہوئے پہرتی ہے ہمارا اب تک,bojh uthāte hue phirtī hai hamārā ab tak
اے زمیں ماں تری یہ عمر تو ارام کی تہی,ai zamīñmāñ tirī ye umr to ārām kī thī
رستہ بہی کٹہن دہوپ میں شدت بہی بہت تہی,rasta bhī kathin dhuup meñ shiddat bhī bahut thī
سائے سے مگر اس کو محبت بہی بہت تہی,saae se magar us ko mohabbat bhī bahut thī
خیمے نہ کوئی میرے مسافر کے جلائے,ḳheme na koī mere musāfir ke jalāe
زخمی تہا بہت پاؤں مسافت بہی بہت تہی,zaḳhmī thā bahut paañv masāfat bhī bahut thī
سب دوست مرے منتظر پردۂ شب تہے,sab dost mire muntazirepardaeshab the
دن میں تو سفر کرنے میں دقت بہی بہت تہی,din meñ to safar karne meñ diqqat bhī bahut thī
بارش کی دعاؤں میں نمی انکہ کی مل جائے,bārish kī duāoñ meñ namī aañkh kī mil jaae
جذبے کی کبہی اتنی رفاقت بہی بہت تہی,jazbe kī kabhī itnī rifāqat bhī bahut thī
کچہ تو ترے موسم ہی مجہے راس کم ائے,kuchh to tire mausam hī mujhe raas kam aae
اور کچہ مری مٹی میں بغاوت بہی بہت تہی,aur kuchh mirī mittī meñ baġhāvat bhī bahut thī
پہولوں کا بکہرنا تو مقدر ہی تہا لیکن,phūloñ kā bikharnā to muqaddar hī thā lekin
کچہ اس میں ہواؤں کی سیاست بہی بہت تہی,kuchh is meñ havāoñ kī siyāsat bhī bahut thī
وہ بہی سر مقتل ہے کہ سچ جس کا تہا شاہد,vo bhī saremaqtal hai ki sach jis kā thā shāhid
اور واقف احوال عدالت بہی بہت تہی,aur vāqifeahvāleadālat bhī bahut thī
اس ترک رفاقت پہ پریشاں تو ہوں لیکن,is tarkerifāqat pe pareshāñ to huuñ lekin
اب تک کے ترے ساتہ پہ حیرت بہی بہت تہی,ab tak ke tire saath pe hairat bhī bahut thī
خوش ائے تجہے شہر منافق کی امیری,ḳhush aae tujhe shahremunāfiq kī amīrī
ہم لوگوں کو سچ کہنے کی عادت بہی بہت تہی,ham logoñ ko sach kahne kī aadat bhī bahut thī
شب وہی لیکن ستارہ اور ہے,shab vahī lekin sitāra aur hai
اب سفر کا استعارہ اور ہے,ab safar kā istiāra aur hai
ایک مٹہی ریت میں کیسے رہے,ek mutthī ret meñ kaise rahe
اس سمندر کا کنارہ اور ہے,is samundar kā kināra aur hai
موج کے مڑنے میں کتنی دیر ہے,mauj ke muḍne meñ kitnī der hai
ناؤ ڈالی اور دہارا اور ہے,naav daalī aur dhārā aur hai
جنگ کا ہتہیار طے کچہ اور تہا,jañg kā hathiyār tai kuchh aur thā
تیر سینے میں اتارا اور ہے,tiir siine meñ utārā aur hai
متن میں تو جرم ثابت ہے مگر,matn meñ to jurm sābit hai magar
حاشیہ سارے کا سارا اور ہے,hāshiya saare kā saarā aur hai
ساتہ تو میرا زمیں دیتی مگر,saath to merā zamīñ detī magar
اسماں کا ہی اشارہ اور ہے,āsmāñ kā hī ishāra aur hai
دہوپ میں دیوار ہی کام ائے گی,dhuup meñ dīvār hī kaam aaegī
تیز بارش کا سہارا اور ہے,tez bārish kā sahārā aur hai
ہارنے میں اک انا کی بات تہی,hārne meñ ik anā kī baat thī
جیت جانے میں خسارا اور ہے,jiit jaane meñ ḳhasārā aur hai
سکہ کے موسم انگلیوں پر گن لیے,sukh ke mausam uñgliyoñ par gin liye
فصل غم کا گوشوارہ اور ہے,fasleġham kā goshvāra aur hai
دیر سے پلکیں نہیں جہپکیں مری,der se palkeñ nahīñ jhapkīñ mirī
پیش جاں اب کے نظارہ اور ہے,peshejāñ ab ke nazāra aur hai
اور کچہ پل اس کا رستہ دیکہ لوں,aur kuchh pal us kā rasta dekh luuñ
اسماں پر ایک تارہ اور ہے,āsmāñ par ek taara aur hai
حد چراغوں کی یہاں سے ختم ہے,had charāġhoñ kī yahāñ se ḳhatm hai
اج سے رستہ ہمارا اور ہے,aaj se rasta hamārā aur hai
شوق رقص سے جب تک انگلیاں نہیں کہلتیں,shauqeraqs se jab tak uñgliyāñ nahīñ khultīñ
پاؤں سے ہواؤں کے بیڑیاں نہیں کہلتیں,paañv se havāoñ ke beḍiyāñ nahīñ khultīñ
پیڑ کو دعا دے کر کٹ گئی بہاروں سے,peḍ ko duā de kar kat gaī bahāroñ se
پہول اتنے بڑہ ائے کہڑکیاں نہیں کہلتیں,phuul itne baḍh aae khiḍkiyāñ nahīñ khultīñ
پہول بن کے سیروں میں اور کون شامل تہا,phuul ban ke sairoñ meñ aur kaun shāmil thā
شوخی صبا سے تو بالیاں نہیں کہلتیں,shoḳhiesabā se to bāliyāñ nahīñ khultīñ
حسن کے سمجہنے کو عمر چاہئے جاناں,husn ke samajhne ko umr chāhiye jānāñ
دو گہڑی کی چاہت میں لڑکیاں نہیں کہلتیں,do ghaḍī kī chāhat meñ laḍkiyāñ nahīñ khultīñ
کوئی موجۂ شیریں چوم کر جگائے گی,koī maujaeshīrīñ chuum kar jagāegī
سورجوں کے نیزوں سے سیپیاں نہیں کہلتیں,sūrajoñ ke nezoñ se sīpiyāñ nahīñ khultīñ
ماں سے کیا کہیں گی دکہ ہجر کا کہ خود پر بہی,maañ se kyā kaheñgī dukh hijr kā ki ḳhud par bhī
اتنی چہوٹی عمروں کی بچیاں نہیں کہلتیں,itnī chhotī umroñ kī bachchiyāñ nahīñ khultīñ
شاخ شاخ سرگرداں کس کی جستجو میں ہیں,shāḳh shāḳh sargardāñ kis kī justujū meñ haiñ
کون سے سفر میں ہیں تتلیاں نہیں کہلتیں,kaun se safar meñ haiñ titliyāñ nahīñ khultīñ
ادہی رات کی چپ میں کس کی چاپ ابہرتی ہے,aadhī raat kī chup meñ kis kī chaap ubhartī hai
چہت پہ کون اتا ہے سیڑہیاں نہیں کہلتیں,chhat pe kaun aatā hai sīḍhiyāñ nahīñ khultīñ
پانیوں کے چڑہنے تک حال کہہ سکیں اور پہر,pāniyoñ ke chaḍhne tak haal kah sakeñ aur phir
کیا قیامتیں گزریں بستیاں نہیں کہلتیں,kyā qayāmateñ guzrīñ bastiyāñ nahīñ khultīñ
تراش کر مرے بازو اڑان چہوڑ گیا,tarāsh kar mire baazū uḍaan chhoḍ gayā
ہوا کے پاس برہنہ کمان چہوڑ گیا,havā ke paas barahna kamān chhoḍ gayā
رفاقتوں کا مری اس کو دہیان کتنا تہا,rafāqatoñ kā mirī us ko dhyān kitnā thā
زمین لے لی مگر اسمان چہوڑ گیا,zamīn le lī magar āsmān chhoḍ gayā
عجیب شخص تہا بارش کا رنگ دیکہ کے بہی,ajiib shaḳhs thā bārish kā rañg dekh ke bhī
کہلے دریچے پہ اک پہول دان چہوڑ گیا,khule darīche pe ik pūldān chhoḍ gayā
جو بادلوں سے بہی مجہ کو چہپائے رکہتا تہا,jo bādaloñ se bhī mujh ko chhupāe rakhtā thā
بڑہی ہے دہوپ تو بے سائبان چہوڑ گیا,baḍhī hai dhuup to besāebān chhoḍ gayā
نکل گیا کہیں ان دیکہے پانیوں کی طرف,nikal gayā kahīñ andekhe pāniyoñ kī taraf
زمیں کے نام کہلا بادبان چہوڑ گیا,zamīñ ke naam khulā bādbān chhoḍ gayā
عقاب کو تہی غرض فاختہ پکڑنے سے,uqaab ko thī ġharaz fāḳhta pakaḍne se
جو گر گئی تو یوں ہی نیم جان چہوڑ گیا,jo gir gaī to yūñhī nīmjān chhoḍ gayā
نہ جانے کون سا اسیب دل میں بستا ہے,na jaane kaun sā aaseb dil meñ bastā hai
کہ جو بہی ٹہہرا وہ اخر مکان چہوڑ گیا,ki jo bhī thahrā vo āḳhir makān chhoḍ gayā
عقب میں گہرا سمندر ہے سامنے جنگل,aqab meñ gahrā samundar hai sāmne jañgal
کس انتہا پہ مرا مہربان چہوڑ گیا,kis intihā pe mirā mehrbān chhoḍ gayā
تیرا گہر اور میرا جنگل بہیگتا ہے ساتہ ساتہ,terā ghar aur merā jañgal bhīgtā hai saath saath
ایسی برساتیں کہ بادل بہیگتا ہے ساتہ ساتہ,aisī barsāteñ ki bādal bhīgtā hai saath saath
بچپنے کا ساتہ ہے پہر ایک سے دونوں کے دکہ,bachpane kā saath hai phir ek se donoñ ke dukh
رات کا اور میرا انچل بہیگتا ہے ساتہ ساتہ,raat kā aur merā āñchal bhīgtā hai saath saath
وہ عجب دنیا کہ سب خنجر بکف پہرتے ہیں اور,vo ajab duniyā ki sab ḳhanjarbakaf phirte haiñ aur
کانچ کے پیالوں میں صندل بہیگتا ہے ساتہ ساتہ,kāñch ke pyāloñ meñ sandal bhīgtā hai saath saath
بارش سنگ ملامت میں بہی وہ ہم راہ ہے,bārishesañgemalāmat meñ bhī vo hamrāh hai
میں بہی بہیگوں خود بہی پاگل بہیگتا ہے ساتہ ساتہ,maiñ bhī bhīgūñ ḳhud bhī pāgal bhīgtā hai saath saath
لڑکیوں کے دکہ عجب ہوتے ہیں سکہ اس سے عجیب,laḍkiyoñ ke dukh ajab hote haiñ sukh us se ajiib
ہنس رہی ہیں اور کاجل بہیگتا ہے ساتہ ساتہ,hañs rahī haiñ aur kājal bhīgtā hai saath saath
بارشیں جاڑے کی اور تنہا بہت میرا کسان,bārisheñ jaaḍe kī aur tanhā bahut merā kisān
جسم اور اکلوتا کمبل بہیگتا ہے ساتہ ساتہ,jism aur iklautā kambal bhīgtā hai saath saath
تیری خوشبو کا پتا کرتی ہے,terī ḳhushbū kā patā kartī hai
مجہ پہ احسان ہوا کرتی ہے,mujh pe ehsān havā kartī hai
چوم کر پہول کو اہستہ سے,chuum kar phuul ko āhista se
معجزہ باد صبا کرتی ہے,moajaza bādesabā kartī hai
کہول کر بند قبا گل کے ہوا,khol kar bandeqabā gul ke havā
اج خوشبو کو رہا کرتی ہے,aaj ḳhushbū ko rihā kartī hai
ابر برستے تو عنایت اس کی,abr baraste to ināyat us kī
شاخ تو صرف دعا کرتی ہے,shāḳh to sirf duā kartī hai
زندگی پہر سے فضا میں روشن,zindagī phir se fazā meñ raushan
مشعل برگ حنا کرتی ہے,mishalebargehinā kartī hai
ہم نے دیکہی ہے وہ اجلی ساعت,ham ne dekhī hai vo ujlī saaat
رات جب شعر کہا کرتی ہے,raat jab sher kahā kartī hai
شب کی تنہائی میں اب تو اکثر,shab kī tanhāī meñ ab to akasr
گفتگو تجہ سے رہا کرتی ہے,guftugū tujh se rahā kartī hai
دل کو اس راہ پہ چلنا ہی نہیں,dil ko us raah pe chalnā hī nahīñ
جو مجہے تجہ سے جدا کرتی ہے,jo mujhe tujh se judā kartī hai
زندگی میری تہی لیکن اب تو,zindagī merī thī lekin ab to
تیرے کہنے میں رہا کرتی ہے,tere kahne meñ rahā kartī hai
اس نے دیکہا ہی نہیں ورنہ یہ انکہ,us ne dekhā hī nahīñ varna ye aañkh
دل کا احوال کہا کرتی ہے,dil kā ahvāl kahā kartī hai
مصحف دل پہ عجب رنگوں میں,mushafedil pe ajab rañgoñ meñ
ایک تصویر بنا کرتی ہے,ek tasvīr banā kartī hai
بے نیاز کف دریا انگشت,beniyāzekafedariyā añgusht
ریت پر نام لکہا کرتی ہے,ret par naam likhā kartī hai
دیکہ تو ان کے چہرہ میرا,dekh tū aan ke chehra merā
اک نظر بہی تری کیا کرتی ہے,ik nazar bhī tirī kyā kartī hai
زندگی بہر کی یہ تاخیر اپنی,zindagī bhar kī ye tāḳhīr apnī
رنج ملنے کا سوا کرتی ہے,rañj milne kā sivā kartī hai
شام پڑتے ہی کسی شخص کی یاد,shaam paḍte hī kisī shaḳhs kī yaad
کوچۂ جاں میں صدا کرتی ہے,kūchaejāñ meñ sadā kartī hai
مسئلہ جب بہی چراغوں کا اٹہا,masala jab bhī charāġhoñ kā uthā
فیصلہ صرف ہوا کرتی ہے,faisla sirf havā kartī hai
مجہ سے بہی اس کا ہے ویسا ہی سلوک,mujh se bhī us kā hai vaisā hī sulūk
حال جو تیرا انا کرتی ہے,haal jo terā anā kartī hai
دکہ ہوا کرتا ہے کچہ اور بیاں,dukh huā kartā hai kuchh aur bayāñ
بات کچہ اور ہوا کرتی ہے,baat kuchh aur huā kartī hai
ٹوٹی ہے میری نیند مگر تم کو اس سے کیا,tuutī hai merī niiñd magar tum ko is se kyā
بجتے رہیں ہواؤں سے در تم کو اس سے کیا,bajte raheñ havāoñ se dar tum ko is se kyā
تم موج موج مثل صبا گہومتے رہو,tum mauj mauj mislesabā ghūmte raho
کٹ جائیں میری سوچ کے پر تم کو اس سے کیا,kat jaaeñ merī soch ke par tum ko is se kyā
اوروں کا ہاتہ تہامو انہیں راستہ دکہاؤ,auroñ kā haath thāmo unheñ rāsta dikhāo
میں بہول جاؤں اپنا ہی گہر تم کو اس سے کیا,maiñ bhuul jāūñ apnā hī ghar tum ko is se kyā
ابر گریز پا کو برسنے سے کیا غرض,abregurezpā ko barasne se kyā ġharaz
سیپی میں بن نہ پائے گہر تم کو اس سے کیا,siipī meñ ban na paae guhar tum ko is se kyā
لے جائیں مجہ کو مال غنیمت کے ساتہ عدو,le jaaeñ mujh ko māleġhanīmat ke saath adū
تم نے تو ڈال دی ہے سپر تم کو اس سے کیا,tum ne to daal dī hai sipar tum ko is se kyā
تم نے تو تہک کے دشت میں خیمے لگا لیے,tum ne to thak ke dasht meñ ḳheme lagā liye
تنہا کٹے کسی کا سفر تم کو اس سے کیا,tanhā kate kisī kā safar tum ko is se kyā
وقت رخصت ا گیا دل پہر بہی گہبرایا نہیں,vaqteruḳhsat aa gayā dil phir bhī ghabrāyā nahīñ
اس کو ہم کیا کہوئیں گے جس کو کبہی پایا نہیں,us ko ham kyā khoeñge jis ko kabhī paayā nahīñ
زندگی جتنی بہی ہے اب مستقل صحرا میں ہے,zindagī jitnī bhī hai ab mustaqil sahrā meñ hai
اور اس صحرا میں تیرا دور تک سایا نہیں,aur is sahrā meñ terā duur tak saayā nahīñ
میری قسمت میں فقط درد تہہ ساغر ہی ہے,merī qismat meñ faqat durdetahesāġhar hī hai
اول شب جام میری سمت وہ لایا نہیں,avvaleshab jaam merī samt vo laayā nahīñ
تیری انکہوں کا بہی کچہ ہلکا گلابی رنگ تہا,terī āñkhoñ kā bhī kuchh halkā gulābī rañg thā
ذہن نے میرے بہی اب کے دل کو سمجہایا نہیں,zehn ne mere bhī ab ke dil ko samjhāyā nahīñ
کان بہی خالی ہیں میرے اور دونوں ہاتہ بہی,kaan bhī ḳhālī haiñ mere aur donoñ haath bhī
اب کے فصل گل نے مجہ کو پہول پہنایا نہیں,ab ke faslegul ne mujh ko phuul pahnāyā nahīñ
وہ ہم نہیں جنہیں سہنا یہ جبر ا جاتا,vo ham nahīñ jinheñ sahnā ye jabr aa jaatā
تری جدائی میں کس طرح صبر ا جاتا,tirī judāī meñ kis tarah sabr aa jaatā
فصیلیں توڑ نہ دیتے جو اب کے اہل قفس,fasīleñ toḍ na dete jo ab ke ahleqafas
تو اور طرح کا اعلان جبر ا جاتا,tū aur tarah kā elānejabr aa jaatā
وہ فاصلہ تہا دعا اور مستجابی میں,vo fāsla thā duā aur mustajābī meñ
کہ دہوپ مانگنے جاتے تو ابر ا جاتا,ki dhuup māñgne jaate to abr aa jaatā
وہ مجہ کو چہوڑ کے جس ادمی کے پاس گیا,vo mujh ko chhoḍ ke jis aadmī ke paas gayā
برابری کا بہی ہوتا تو صبر ا جاتا,barābarī kā bhī hotā to sabr aa jaatā
وزیر و شاہ بہی خس خانوں سے نکل اتے,vazīr o shaah bhī ḳhasḳhānoñ se nikal aate
اگر گمان میں انگار قبر ا جاتا,agar gumān meñ añgāreqabr aa jaatā
وہ تو خوش بو ہے ہواؤں میں بکہر جائے گا,vo to ḳhushbū hai havāoñ meñ bikhar jāegā
مسئلہ پہول کا ہے پہول کدہر جائے گا,masala phuul kā hai phuul kidhar jāegā
ہم تو سمجہے تہے کہ اک زخم ہے بہر جائے گا,ham to samjhe the ki ik zaḳhm hai bhar jāegā
کیا خبر تہی کہ رگ جاں میں اتر جائے گا,kyā ḳhabar thī ki ragejāñ meñ utar jāegā
وہ ہواؤں کی طرح خانہ بجاں پہرتا ہے,vo havāoñ kī tarah ḳhānabajāñ phirtā hai
ایک جہونکا ہے جو ائے گا گزر جائے گا,ek jhoñkā hai jo aaegā guzar jāegā
وہ جب ائے گا تو پہر اس کی رفاقت کے لیے,vo jab aaegā to phir us kī rifāqat ke liye
موسم گل مرے انگن میں ٹہہر جائے گا,mausamegul mire āñgan meñ thahar jāegā
اخرش وہ بہی کہیں ریت پہ بیٹہی ہوگی,āḳhirash vo bhī kahīñ ret pe baithī hogī
تیرا یہ پیار بہی دریا ہے اتر جائے گا,terā ye pyaar bhī dariyā hai utar jāegā
مجہ کو تہذیب کے برزخ کا بنایا وارث,mujh ko tahzīb ke barzaḳh kā banāyā vāris
جرم یہ بہی مرے اجداد کے سر جائے گا,jurm ye bhī mire ajdād ke sar jāegā
اب ائیں یا نہ ائیں ادہر پوچہتے چلو,ab aaeñ yā na aaeñ idhar pūchhte chalo
کیا چاہتی ہے ان کی نظر پوچہتے چلو,kyā chāhtī hai un kī nazar pūchhte chalo
ہم سے اگر ہے ترک تعلق تو کیا ہوا,ham se agar hai tarketaalluq to kyā huā
یارو کوئی تو ان کی خبر پوچہتے چلو,yaaro koī to un kī ḳhabar pūchhte chalo
جو خود کو کہہ رہے ہیں کہ منزل شناس ہیں,jo ḳhud ko kah rahe haiñ ki manzilshanās haiñ
ان کو بہی کیا خبر ہے مگر پوچہتے چلو,un ko bhī kyā ḳhabar hai magar pūchhte chalo
کس منزل مراد کی جانب رواں ہیں ہم,kis manzilemurād kī jānib ravāñ haiñ ham
اے رہروان خاک بسر پوچہتے چلو,ai rahravāneḳhākbasar pūchhte chalo
اب کوئی گلشن نہ اجڑے اب وطن ازاد ہے,ab koī gulshan na ujḍe ab vatan āzād hai
روح گنگا کی ہمالہ کا بدن ازاد ہے,ruuh gañgā kī himāla kā badan āzād hai
کہیتیاں سونا اگائیں وادیاں موتی لٹائیں,khetiyāñ sonā ugāeñ vādiyāñ motī lutāeñ
اج گوتم کی زمیں تلسی کا بن ازاد ہے,aaj gautam kī zamīñ tulsī kā ban āzād hai
مندروں میں سنکہ باجے مسجدوں میں ہو اذاں,mandiroñ meñ sañkh baaje masjidoñ meñ ho azaañ
شیخ کا دہرم اور دین برہمن ازاد ہے,shaiḳh kā dharm aur dīnebarhaman āzād hai
لوٹ کیسی بہی ہو اب اس دیش میں رہنے نہ پائے,luut kaisī bhī ho ab is desh meñ rahne na paae
اج سب کے واسطے دہرتی کا دہن ازاد ہے,aaj sab ke vāste dhartī kā dhan āzād hai
اہل دل اور بہی ہیں اہل وفا اور بہی ہیں,ahledil aur bhī haiñ ahlevafā aur bhī haiñ
ایک ہم ہی نہیں دنیا سے خفا اور بہی ہیں,ek ham hī nahīñ duniyā se ḳhafā aur bhī haiñ
ہم پہ ہی ختم نہیں مسلک شوریدہ سری,ham pe hī ḳhatm nahīñ maslakeshorīdasarī
چاک دل اور بہی ہیں چاک قبا اور بہی ہیں,chākedil aur bhī haiñ chākeqabā aur bhī haiñ
کیا ہوا گر مرے یاروں کی زبانیں چپ ہیں,kyā huā gar mire yāroñ kī zabāneñ chup haiñ
میرے شاہد مرے یاروں کے سوا اور بہی ہیں,mere shāhid mire yāroñ ke sivā aur bhī haiñ
سر سلامت ہے تو کیا سنگ ملامت کی کمی,sar salāmat hai to kyā sañgemalāmat kī kamī
جان باقی ہے تو پیکان قضا اور بہی ہیں,jaan baaqī hai to paikāneqazā aur bhī haiñ
منصف شہر کی وحدت پہ نہ حرف ا جائے,munsifeshahr kī vahdat pe na harf aa jaae
لوگ کہتے ہیں کہ ارباب جفا اور بہی ہیں,log kahte haiñ ki arbabejafā aur bhī haiñ
اپنا دل پیش کروں اپنی وفا پیش کروں,apnā dil pesh karūñ apnī vafā pesh karūñ
کچہ سمجہ میں نہیں اتا تجہے کیا پیش کروں,kuchh samajh meñ nahīñ aatā tujhe kyā pesh karūñ
تیرے ملنے کی خوشی میں کوئی نغمہ چہیڑوں,tere milne kī ḳhushī meñ koī naġhma chheḍūñ
یا ترے درد جدائی کا گلا پیش کروں,yā tire dardejudāī kā gilā pesh karūñ
میرے خوابوں میں بہی تو میرے خیالوں میں بہی تو,mere ḳhvāboñ meñ bhī tū mere ḳhayāloñ meñ bhī tū
کون سی چیز تجہے تجہ سے جدا پیش کروں,kaun sī chiiz tujhe tujh se judā pesh karūñ
جو ترے دل کو لبہائے وہ ادا مجہ میں نہیں,jo tire dil ko lubhāe vo adā mujh meñ nahīñ
کیوں نہ تجہ کو کوئی تیری ہی ادا پیش کروں,kyuuñ na tujh ko koī terī hī adā pesh karūñ
عقائد وہم ہیں مذہب خیال خام ہے ساقی,aqāed vahm haiñ mazhab ḳhayāleḳhām hai saaqī
ازل سے ذہن انساں بستۂ اوہام ہے ساقی,azal se zehneinsāñ bastaeauhām hai saaqī
حقیقت اشنائی اصل میں گم کردہ راہی ہے,haqīqatāshnāī asl meñ gumkarda raahī hai
عروس اگہی پروردۂ ابہام ہے ساقی,urūseāgahī parvurdaeibhām hai saaqī
مبارک ہو ضعیفی کو خرد کی فلسفہ رانی,mubārak ho zaīfī ko ḳhirad kī falsafarānī
جوانی بے نیاز عبرت انجام ہے ساقی,javānī beniyāzeibrateanjām hai saaqī
ہوس ہوگی اسیر حلقۂ نیک و بد عالم,havas hogī asīrehalqaenekobadeālam
محبت ماورائے فکر ننگ و نام ہے ساقی,mohabbat māvarāefikrenañgonām hai saaqī
ابہی تک راستے کے پیچ و خم سے دل دہڑکتا ہے,abhī tak rāste ke pechoḳham se dil dhaḍaktā hai
مرا ذوق طلب شاید ابہی تک خام ہے ساقی,mirā zauqetalab shāyad abhī tak ḳhaam hai saaqī
وہاں بہیجا گیا ہوں چاک کرنے پردۂ شب کو,vahāñ bhejā gayā huuñ chaak karne pardaeshab ko
جہاں ہر صبح کے دامن پہ عکس شام ہے ساقی,jahāñ har subh ke dāman pe akseshām hai saaqī
مرے ساغر میں مے ہے اور ترے ہاتہوں میں بربط ہے,mire sāġhar meñ mai hai aur tire hāthoñ meñ barbat hai
وطن کی سر زمیں میں بہوک سے کہرام ہے ساقی,vatan kī sarzamīñ meñ bhuuk se kohrām hai saaqī
زمانہ برسر پیکار ہے پر ہول شعلوں سے,zamāna barsarepaikār hai purhaul shoaloñ se
ترے لب پر ابہی تک نغمہ خیام ہے ساقی,tire lab par abhī tak naġhmaeḳhayyām hai saaqī
بہت گہٹن ہے کوئی صورت بیاں نکلے,bahut ghutan hai koī sūratebayāñ nikle
اگر صدا نہ اٹہے کم سے کم فغاں نکلے,agar sadā na uthe kam se kam fuġhāñ nikle
فقیر شہر کے تن پر لباس باقی ہے,faqīreshahr ke tan par libās baaqī hai
امیر شہر کے ارماں ابہی کہاں نکلے,amīreshahr ke armāñ abhī kahāñ nikle
حقیقتیں ہیں سلامت تو خواب بہتیرے,haqīqateñ haiñ salāmat to ḳhvāb bahutere
ملال کیوں ہو کہ کچہ خواب رائیگاں نکلے,malāl kyuuñ ho ki kuchh ḳhvāb rāegāñ nikle
ادہر بہی خاک اڑی ہے ادہر بہی خاک اڑی,udhar bhī ḳhaak uḍī hai idhar bhī ḳhaak uḍī
جہاں جہاں سے بہاروں کے کارواں نکلے,jahāñ jahāñ se bahāroñ ke kārvāñ nikle
ستم کے دور میں ہم اہل دل ہی کام ائے,sitam ke daur meñ ham ahledil hī kaam aae
زباں پہ ناز تہا جن کو وہ بے زباں نکلے,zabāñ pe naaz thā jin ko vo bezabāñ nikle
برباد محبت کی دعا ساتہ لیے جا,barbādemohabbat kī duā saath liye jā
ٹوٹا ہوا اقرار وفا ساتہ لیے جا,tuutā huā iqrārevafā saath liye jā
اک دل تہا جو پہلے ہی تجہے سونپ دیا تہا,ik dil thā jo pahle hī tujhe sauñp diyā thā
یہ جان بہی اے جان ادا ساتہ لیے جا,ye jaan bhī ai jāneadā saath liye jā
تپتی ہوئی راہوں سے تجہے انچ نہ پہنچے,taptī huī rāhoñ se tujhe aañch na pahuñche
دیوانوں کے اشکوں کی گہٹا ساتہ لیے جا,dīvānoñ ke ashkoñ kī ghatā saath liye jā
شامل ہے مرا خون جگر تیری حنا میں,shāmil hai mirā ḳhūnejigar terī hinā meñ
یہ کم ہو تو اب خون وفا ساتہ لیے جا,ye kam ho to ab ḳhūnevafā saath liye jā
ہم جرم محبت کی سزا پائیں گے تنہا,ham jurmemohabbat kī sazā pāeñge tanhā
